Name,Country,Position,Goals,Assists,Tackles,Saves,Club,League,League_Website
Phil Foden,England,FW,0,0,0,0,Man City,Unknown,Unknown
Jack Grealish,England,FW,0,0,0,0,Man City,Unknown,Unknown
James Maddison,England,FW,0,0,0,0,Leicester City,Unknown,Unknown
Alireza Beiranvand,Iran,GK,0,0,0,0,Persepolis,Unknown,Unknown
Hossein Hosseini,Iran,GK,0,0,0,0,Esteghlal,Unknown,Unknown
Payam Niazmand,Iran,GK,0,0,0,0,Sepahan,Unknown,Unknown
Amir Abedzadeh,Iran,GK,0,0,0,0,Ponferradina,Unknown,Unknown
Ramin Rezaeian,Iran,DF,0,0,0,0,Sepahan,Unknown,Unknown
Abolfazl Jalali,Iran,DF,0,0,0,0,Esteghlal,Unknown,Unknown
Hossein Kananizadegan,Iran,DF,0,0,0,0,Al Ahli SC,Unknown,Unknown
Shoja Khalilzadeh,Iran,DF,0,0,0,0,Al Ahli SC,Unknown,Unknown
Mortza Pouraliganji,Iran,DF,0,0,0,0,Persepolis,Unknown,Unknown
Majid Hosseini,Iran,DF,0,0,0,0,Kayserispor,Unknown,Unknown
Sadegh Moharrami,Iran,DF,0,0,0,0,Dinamo Zagreb,Unknown,Unknown
Milad Mohammadi,Iran,DF,0,0,0,0,AEK,Unknown,Unknown
Ehsan Hajisafi,Iran,DF,0,0,0,0,AEK,Unknown,Unknown
Saeid Ezatolahi,Iran,MF,0,0,0,0,Vejle Boldklub,Unknown,Unknown
Ahmad Nourollahi,Iran,MF,0,0,0,0,Shabab Al Ahli,Unknown,Unknown
Ali Karimi,Iran,MF,0,0,0,0,Kayserispor,Unknown,Unknown
Rouzbeh Cheshmi,Iran,MF,0,0,0,0,Esteghlal,Unknown,Unknown
Vahid Amiri,Iran,MF,0,0,0,0,Persepolis,Unknown,Unknown
Mehdi Torabi,Iran,MF,0,0,0,0,Persepolis,Unknown,Unknown
Alireza Jahanbakhsh,Iran,MF,0,0,0,0,Feyenoord,Unknown,Unknown
Ali Gholizadeh,Iran,MF,0,0,0,0,Charleroi,Unknown,Unknown
Saman Ghoddos,Iran,MF,0,0,0,0,Brentford,Unknown,Unknown
Sardar Azmoun,Iran,FW,0,0,0,0,Bayer Leverkusen,Unknown,Unknown
Karim Ansarifard,Iran,FW,0,0,0,0,Omonia,Unknown,Unknown
Mehdi Taremi,Iran,FW,0,0,0,0,Porto,Unknown,Unknown
Ethan Horvath,United States,GK,0,0,0,0,Luton,Unknown,Unknown
Sean Johnson,United States,GK,0,0,0,0,New York City FC,Unknown,Unknown
Matt Turner,United States,GK,0,0,0,0,Arsenal,Unknown,Unknown
Cameron Carter-Vickers,United States,DF,0,0,0,0,Celtic,Unknown,Unknown
Sergino Dest,United States,DF,0,0,0,0,AC Milan,Unknown,Unknown
Aaron Long,United States,DF,0,0,0,0,New York Red Bulls,Unknown,Unknown
Shaq Moore,United States,DF,0,0,0,0,Nashville,Unknown,Unknown
Tim Ream,United States,DF,0,0,0,0,Fulham,Unknown,Unknown
Antonee Robinson,United States,DF,0,0,0,0,Fulham,Unknown,Unknown
Joe Scally,United States,DF,0,0,0,0,Borussia Monchengladbach,Unknown,Unknown
DeAndre Yedlin,United States,DF,0,0,0,0,Inter Miami,Unknown,Unknown
Walker Zimmerman,United States,DF,0,0,0,0,Nashville,Unknown,Unknown
Brenden Aaronson,United States,MF,0,0,0,0,Leeds,Unknown,Unknown
Kellyn Acosta,United States,MF,0,0,0,0,LAFC,Unknown,Unknown
Tyler Adams,United States,MF,0,0,0,0,Leeds,Unknown,Unknown
Luca de la Torre,United States,MF,0,0,0,0,Celta Vigo,Unknown,Unknown
Weston McKennie,United States,MF,0,0,0,0,Juventus,Unknown,Unknown
Yunus Musah,United States,MF,0,0,0,0,Valencia,Unknown,Unknown
Cristian Roldan,United States,MF,0,0,0,0,Seattle Sounders,Unknown,Unknown
Jesus Ferreira,United States,FW,0,0,0,0,FC Dallas,Unknown,Unknown
Jordan Morris,United States,FW,0,0,0,0,Seattle Sounders,Unknown,Unknown
Christian Pulisic,United States,FW,0,0,0,0,Chelsea,Unknown,Unknown
Gio Reyna,United States,FW,0,0,0,0,Borussia Dortmund,Unknown,Unknown
Josh Sargent,United States,FW,0,0,0,0,Norwich,Unknown,Unknown
Tim Weah,United States,FW,0,0,0,0,Lille,Unknown,Unknown
Haji Wright,United States,FW,0,0,0,0,Antalayaspor,Unknown,Unknown
Wayne Hennessey,Wales,GK,0,0,0,0,Nottingham Forest,Unknown,Unknown
